LocalTimestamp,PG
1659521036.953305,6947
1659521036.997681,7589
1659521037.042056,8127
1659521037.080629,8817
1659521037.119201,9400
1659521037.157774,9841
1659521037.200272,10043
1659521037.24277,10120
1659521037.281001,10247
1659521037.319233,10446
1659521037.357464,10666
1659521037.396037,10839
1659521037.434609,10984
1659521037.473182,11136
1659521037.513632,11289
1659521037.554082,11359
1659521037.593337,11412
1659521037.632592,11456
1659521037.671848,11499
1659521037.710079,11519
1659521037.74831,11569
1659521037.786541,11626
1659521037.82904,11639
1659521037.871538,11638
1659521037.910452,11606
1659521037.949366,11625
1659521037.98828,11633
1659521038.029242,11632
1659521038.070204,11633
1659521038.1098,11653
1659521038.149397,11697
1659521038.188993,11723
1659521038.23098,11738
1659521038.272966,11754
1659521038.310856,11763
1659521038.348746,11804
1659521038.386635,11849
1659521038.428622,11938
1659521038.470608,11994
1659521038.514983,12023
1659521038.559359,12022
1659521038.603734,12021
1659521038.637016,11942
1659521038.670298,11807
1659521038.714673,11803
1659521038.759049,11891
1659521038.803424,12012
1659521038.843021,12122
1659521038.882617,12134
1659521038.922214,12136
1659521038.963176,12153
1659521039.004138,12186
1659521039.043052,12260
1659521039.081966,12278
1659521039.12088,12229
1659521039.16389,12186
1659521039.2069,12119
1659521039.245473,12057
1659521039.284046,12047
1659521039.322618,12032
1659521039.361532,12079
1659521039.400446,12092
1659521039.43936,12071
1659521039.480834,12069
1659521039.522308,12058
1659521039.561222,12037
1659521039.600136,12014
1659521039.63905,11987
1659521039.677964,11987
1659521039.716878,11990
1659521039.755792,11985
1659521039.797266,11992
1659521039.83874,12032
1659521039.882774,12064
1659521039.926808,12096
1659521039.970843,12121
1659521040.009757,12155
1659521040.048671,12190
1659521040.087584,12240
1659521040.130083,12286
1659521040.172581,12314
1659521040.210812,12345
1659521040.249043,12375
1659521040.287274,12362
1659521040.328748,12342
1659521040.370223,12327
1659521040.408795,12324
1659521040.447368,12297
1659521040.48594,12285
1659521040.524172,12267
1659521040.562403,12232
1659521040.600634,12198
1659521040.64262,12182
1659521040.684606,12147
1659521040.72352,11992
1659521040.762434,11932
1659521040.801348,11945
1659521040.839579,11962
1659521040.877811,11968
1659521040.916042,11971
1659521040.957516,11989
1659521040.99899,11997
1659521041.038245,12013
1659521041.077501,12018
1659521041.116756,12036
1659521041.158742,12059
1659521041.200728,12077
1659521041.239642,12065
1659521041.278556,12068
1659521041.31747,12054
1659521041.359456,12022
1659521041.401442,11948
1659521041.445476,11903
1659521041.489511,11873
1659521041.533545,11843
1659521041.567338,11833
1659521041.601132,11816
1659521041.645508,11832
1659521041.689883,11855
1659521041.734259,11883
1659521041.772831,11904
1659521041.811404,11933
1659521041.849977,11940
1659521041.890939,11954
1659521041.931901,11989
1659521041.970815,12003
1659521042.009729,12038
1659521042.048643,12048
1659521042.090629,12049
1659521042.132615,12049
1659521042.170505,12049
1659521042.208395,12054
1659521042.246284,12040
1659521042.284174,12019
1659521042.328891,12005
1659521042.373608,12013
1659521042.418325,12030
1659521042.452119,12047
1659521042.485913,12077
1659521042.529947,12096
1659521042.573981,12122
1659521042.618015,12148
1659521042.656929,12160
