LocalTimestamp,PG
1659514282.354093,8689
1659514282.395614,8773
1659514282.437136,8898
1659514282.475752,9015
1659514282.514369,9149
1659514282.552986,9271
1659514282.596045,9372
1659514282.639105,9452
1659514282.67738,9502
1659514282.715655,9547
1659514282.753929,9596
1659514282.792546,9597
1659514282.831163,9528
1659514282.86978,9419
1659514282.911814,9374
1659514282.953848,9355
1659514282.991781,9367
1659514283.029714,9369
1659514283.067647,9388
1659514283.109169,9400
1659514283.150691,9398
1659514283.190332,9393
1659514283.229975,9398
1659514283.269616,9416
1659514283.313701,9430
1659514283.357785,9458
1659514283.40187,9488
1659514283.440487,9523
1659514283.479104,9563
1659514283.51772,9607
1659514283.560267,9657
1659514283.602814,9708
1659514283.64143,9756
1659514283.680047,9756
1659514283.718664,9674
1659514283.75916,9581
1659514283.799656,9558
1659514283.838957,9540
1659514283.878257,9536
1659514283.917557,9549
1659514283.95549,9576
1659514283.993423,9593
1659514284.031357,9611
1659514284.073391,9638
1659514284.115425,9661
1659514284.154042,9704
1659514284.192658,9750
1659514284.231275,9784
1659514284.272797,9826
1659514284.314318,9866
1659514284.352935,9913
1659514284.391551,9950
1659514284.430168,9992
1659514284.472715,10028
1659514284.515262,10082
1659514284.553879,10076
1659514284.592495,9985
1659514284.631112,9822
1659514284.672633,9705
1659514284.714155,9654
1659514284.758581,9613
1659514284.803008,9600
1659514284.847434,9599
1659514284.88605,9584
1659514284.924667,9578
1659514284.963284,9591
1659514285.004806,9584
1659514285.046327,9588
1659514285.085627,9615
1659514285.124927,9624
1659514285.164227,9634
1659514285.205236,9658
1659514285.246245,9691
1659514285.286434,9708
1659514285.326623,9755
1659514285.366812,9767
1659514285.407,9779
1659514285.447189,9787
1659514285.486489,9703
1659514285.525789,9564
1659514285.565089,9458
1659514285.606098,9419
1659514285.647107,9396
1659514285.686408,9379
1659514285.725708,9370
1659514285.765008,9336
1659514285.803625,9294
1659514285.842241,9266
1659514285.880858,9260
1659514285.923405,9245
1659514285.965951,9250
1659514286.004226,9247
1659514286.042501,9269
1659514286.080776,9308
1659514286.122298,9347
1659514286.16382,9403
1659514286.202436,9466
1659514286.241053,9532
1659514286.27967,9552
1659514286.321704,9541
1659514286.363738,9431
1659514286.402354,9299
1659514286.440971,9221
1659514286.479588,9174
1659514286.521622,9133
1659514286.563656,9088
1659514286.602273,9080
1659514286.64089,9049
1659514286.679506,9032
1659514286.724274,9024
1659514286.769042,9017
1659514286.813811,9033
1659514286.847643,9060
1659514286.881475,9083
1659514286.92556,9105
