LocalTimestamp,PI
1659432661.85769,158432
1659432661.896303,159008
1659432661.934917,159550
1659432661.976947,159567
1659432662.018978,159663
1659432662.057591,159710
1659432662.096204,159915
1659432662.134818,159958
1659432662.175823,159898
1659432662.216829,159862
1659432662.254758,160003
1659432662.292688,159943
1659432662.330618,159830
1659432662.373674,159742
1659432662.41673,159549
1659432662.455343,159233
1659432662.493956,159008
1659432662.53257,158863
1659432662.576992,158725
1659432662.621415,158606
1659432662.665837,158439
1659432662.707355,158134
1659432662.748873,157686
1659432662.78817,157213
1659432662.827467,156693
1659432662.866764,156211
1659432662.908282,155894
1659432662.949799,155661
1659432662.989096,155394
1659432663.028393,155298
1659432663.06769,155342
1659432663.106303,155532
1659432663.144917,155754
1659432663.18353,156055
1659432663.224023,156562
1659432663.264516,157326
1659432663.303471,157850
1659432663.342426,158153
1659432663.381381,158281
1659432663.419652,158522
1659432663.457924,158794
1659432663.496196,159018
1659432663.537714,159145
1659432663.579232,159268
1659432663.61887,159406
1659432663.658509,159527
1659432663.698147,159635
1659432663.739665,159776
1659432663.781183,159847
1659432663.820138,159949
1659432663.859093,160069
1659432663.898048,160177
1659432663.940592,160216
1659432663.983135,160128
1659432664.022431,159950
1659432664.061728,159763
1659432664.101025,159579
1659432664.141518,159432
1659432664.182011,159242
1659432664.226433,158950
1659432664.270856,158710
1659432664.315278,158520
1659432664.355258,158379
1659432664.395239,158275
1659432664.435219,158177
1659432664.475199,158119
1659432664.515179,158043
1659432664.553793,158030
1659432664.592406,158037
1659432664.631019,157986
1659432664.67305,157896
1659432664.71508,157884
1659432664.753352,157862
1659432664.791624,157733
1659432664.829895,157576
1659432664.869192,157548
1659432664.908489,157555
1659432664.947786,157517
1659432664.986741,157534
1659432665.025696,157521
1659432665.064651,157649
1659432665.105657,157770
1659432665.146662,157735
1659432665.185275,157761
1659432665.223889,157992
1659432665.262502,158153
1659432665.305045,158339
1659432665.347588,158683
1659432665.38586,158879
1659432665.424132,158977
1659432665.462403,159026
1659432665.503409,158991
1659432665.544414,158955
1659432665.588495,158797
1659432665.632576,158382
1659432665.676656,158064
1659432665.710486,157998
1659432665.744315,157673
1659432665.788396,157377
1659432665.832477,157728
1659432665.876557,158027
1659432665.915513,158074
1659432665.954468,158815
1659432665.993423,160318
1659432666.034428,165699
1659432666.075433,166386
1659432666.114047,166084
1659432666.15266,166023
1659432666.191273,165926
1659432666.233817,165914
1659432666.27636,166241
1659432666.314973,166476
1659432666.353586,166581
1659432666.3922,166598
1659432666.430813,166622
1659432666.469427,166645
1659432666.50804,166297
1659432666.549558,165914
1659432666.591076,165854
1659432666.630031,165844
1659432666.668986,165863
1659432666.707941,165937
1659432666.746555,166099
1659432666.785168,166343
1659432666.823781,166541
1659432666.865812,166720
1659432666.907842,166915
1659432666.947481,167046
1659432666.987119,167120
1659432667.026758,167219
1659432667.067763,167306
1659432667.108769,167351
1659432667.150799,167402
1659432667.19283,167475
1659432667.232468,167594
1659432667.272107,167634
1659432667.311745,167681
1659432667.355484,167585
1659432667.399223,167286
1659432667.442962,166992
1659432667.475254,166823
1659432667.507546,166761
1659432667.551627,166788
1659432667.595707,166878
1659432667.639788,166914
1659432667.678401,166918
1659432667.717015,166938
1659432667.755628,167016
1659432667.797659,167154
1659432667.839689,167241
1659432667.878644,167370
1659432667.917599,167422
1659432667.956555,167458
1659432667.998072,167496
1659432668.03959,167528
1659432668.077862,167561
1659432668.116134,167556
1659432668.154405,167639
1659432668.194386,167741
1659432668.234366,167730
1659432668.274346,167461
1659432668.315351,167200
1659432668.356357,167083
1659432668.39497,167014
1659432668.433584,167017
1659432668.472197,167057
1659432668.513715,167059
1659432668.555233,167033
1659432668.594188,167083
1659432668.633143,167166
1659432668.672098,167272
1659432668.712591,167332
1659432668.753084,167406
1659432668.792039,167516
1659432668.830994,167612
1659432668.869949,167729
1659432668.910954,167787
1659432668.95196,167897
1659432668.990915,168010
1659432669.02987,168138
1659432669.068825,168226
1659432669.113589,168194
1659432669.158354,167938
1659432669.203118,167627
1659432669.244636,167470
1659432669.286154,167418
1659432669.324425,167459
1659432669.362697,167479
1659432669.400969,167499
1659432669.443512,167517
1659432669.486055,167496
1659432669.525352,167455
1659432669.564648,167443
1659432669.603945,167515
1659432669.64372,167588
1659432669.683496,167663
1659432669.723271,167773
1659432669.763046,167823
1659432669.802821,167895
1659432669.841776,167966
1659432669.880731,168070
1659432669.919686,168136
1659432669.961204,168148
1659432670.002722,167907
1659432670.041677,167641
1659432670.080632,167583
1659432670.119588,167580
1659432670.161105,167620
1659432670.202623,167650
1659432670.241237,167671
1659432670.27985,167671
1659432670.318464,167669
1659432670.357077,167668
1659432670.39569,167724
1659432670.434304,167787
1659432670.476847,167857
1659432670.51939,167932
1659432670.558345,167987
1659432670.5973,168044
1659432670.636255,168094
1659432670.677773,168167
1659432670.719291,168239
1659432670.763714,168276
1659432670.808136,168266
1659432670.852558,167974
1659432670.886388,167654
1659432670.920217,167494
1659432670.963956,167454
1659432671.007695,167472
1659432671.051435,167488
1659432671.084239,167521
1659432671.117043,167510
1659432671.161124,167492
1659432671.205205,167487
1659432671.249285,167545
1659432671.28824,167617
1659432671.327196,167711
1659432671.366151,167788
1659432671.408181,167851
1659432671.450212,167915
1659432671.489167,167970
1659432671.528122,168059
1659432671.567077,168115
1659432671.608082,168208
1659432671.649088,168228
1659432671.687701,168064
1659432671.726315,167772
1659432671.764928,167588
1659432671.803883,167553
1659432671.842838,167591
1659432671.881793,167663
1659432671.923311,167716
1659432671.964829,167754
1659432672.003101,167764
1659432672.041372,167776
1659432672.079644,167820
1659432672.121675,167890
1659432672.163705,167961
1659432672.201977,168035
1659432672.240248,168102
1659432672.27852,168164
1659432672.320551,168207
1659432672.362581,168285
1659432672.40222,168365
1659432672.441858,168401
1659432672.481497,168442
1659432672.525919,168404
1659432672.570342,168134
1659432672.614764,167912
1659432672.647056,167869
1659432672.679348,167905
1659432672.724795,167953
1659432672.770243,168026
1659432672.81569,168051
1659432672.857721,168047
1659432672.899751,168035
1659432672.938365,168044
1659432672.976978,168086
1659432673.015592,168198
1659432673.057109,168294
1659432673.098627,168336
1659432673.137583,168397
1659432673.176538,168441
1659432673.215493,168498
1659432673.254106,168541
1659432673.292719,168582
1659432673.331333,168650
1659432673.370288,168633
1659432673.409243,168411
1659432673.448198,168140
1659432673.489203,168019
1659432673.530209,168018
1659432673.569164,168068
1659432673.608119,168084
1659432673.647074,168104
1659432673.689105,168095
1659432673.731135,168071
1659432673.77009,168070
1659432673.809045,168118
1659432673.848001,168213
1659432673.889006,168277
1659432673.930011,168347
1659432673.969308,168403
1659432674.008605,168458
1659432674.047902,168503
1659432674.089932,168538
1659432674.131963,168593
1659432674.170234,168677
1659432674.208506,168756
1659432674.246778,168720
1659432674.2912,168417
1659432674.335623,168052
1659432674.380045,167910
1659432674.42105,167908
1659432674.462056,167960
1659432674.499986,168018
1659432674.537916,168065
1659432674.575846,168090
1659432674.618389,168098
1659432674.660932,168123
1659432674.699887,168140
1659432674.738842,168233
1659432674.777797,168370
1659432674.816411,168474
1659432674.855024,168577
1659432674.893637,168602
1659432674.935411,168642
1659432674.977186,168645
1659432675.01896,168636
1659432675.060734,168652
1659432675.099006,168675
1659432675.137277,168563
1659432675.175549,168248
1659432675.214163,168011
1659432675.252776,167928
1659432675.291389,167965
1659432675.332907,168012
1659432675.374425,168071
1659432675.413038,168073
1659432675.451652,168082
1659432675.490265,168068
1659432675.528537,168113
1659432675.566809,168162
1659432675.60508,168230
1659432675.647624,168302
1659432675.690166,168343
1659432675.734589,168404
1659432675.779011,168467
1659432675.823434,168546
