LocalTimestamp,PR
1659431971.290771,166788
1659431971.331264,167175
1659431971.371757,166937
1659431971.411053,166489
1659431971.45035,165862
1659431971.489647,165571
1659431971.531678,165589
1659431971.573708,165897
1659431971.612321,166189
1659431971.650935,166396
1659431971.689548,166307
1659431971.731066,166509
1659431971.772584,166735
1659431971.817348,167046
1659431971.862113,167367
1659431971.906877,167534
1659431971.944807,167696
1659431971.982737,167890
1659431972.020667,168017
1659431972.06321,168122
1659431972.105753,168071
1659431972.144024,168046
1659431972.182296,168186
1659431972.220568,168143
1659431972.26106,167892
1659431972.301553,167614
1659431972.340167,167461
1659431972.37878,167494
1659431972.417393,167662
1659431972.45669,167769
1659431972.495987,167732
1659431972.535284,167625
1659431972.576802,167551
1659431972.61832,167578
1659431972.657617,167630
1659431972.696913,167627
1659431972.73621,167496
1659431972.778241,167257
1659431972.820271,167036
1659431972.859226,166947
1659431972.898181,166972
1659431972.937136,167018
1659431972.976092,167120
1659431973.015047,167297
1659431973.054002,167577
1659431973.09552,167766
1659431973.137038,167870
1659431973.175993,167883
1659431973.214948,167843
1659431973.253903,167684
1659431973.294396,167680
1659431973.334888,167697
1659431973.379653,167854
1659431973.424417,168211
1659431973.469181,168511
1659431973.503011,168506
1659431973.53684,168416
1659431973.580921,168258
1659431973.625001,168145
1659431973.669082,168124
1659431973.702399,168099
1659431973.735716,168078
1659431973.780138,168092
1659431973.824561,168142
1659431973.868984,168131
1659431973.90828,168120
1659431973.947577,168145
1659431973.986874,168085
1659431974.028392,167997
1659431974.06991,167927
1659431974.108865,167893
1659431974.14782,167898
1659431974.186775,167877
1659431974.225047,167868
1659431974.263318,167862
1659431974.30159,167849
1659431974.343621,167833
1659431974.385651,167821
1659431974.424606,167733
1659431974.463561,167685
1659431974.502516,167660
1659431974.543009,167627
1659431974.583502,167584
1659431974.621774,167594
1659431974.660045,167616
1659431974.698317,167576
1659431974.74086,167525
1659431974.783403,167454
1659431974.822016,167463
1659431974.86063,167484
1659431974.899243,167522
1659431974.940249,167544
1659431974.981254,167575
1659431975.020893,167635
1659431975.060531,167706
1659431975.10017,167821
1659431975.14425,167946
1659431975.188331,168127
1659431975.232412,168347
1659431975.270342,168430
1659431975.308272,168426
1659431975.346202,168379
1659431975.389257,168309
1659431975.432313,168198
1659431975.470243,168079
1659431975.508173,168060
1659431975.546103,168092
1659431975.586596,168089
1659431975.627089,168100
1659431975.666385,168177
1659431975.705682,168213
1659431975.744979,168214
1659431975.783592,168167
1659431975.822206,168142
1659431975.860819,168139
1659431975.902337,168115
1659431975.943855,168084
1659431975.983494,168073
1659431976.023132,168087
1659431976.062771,168056
1659431976.101384,168002
1659431976.139997,167967
1659431976.178611,167891
1659431976.220641,167864
1659431976.262672,167856
1659431976.307436,167809
1659431976.3522,167735
1659431976.396964,167709
1659431976.430281,167661
1659431976.463598,167597
1659431976.507337,167558
1659431976.551076,167444
1659431976.594815,167291
1659431976.634112,167246
1659431976.673409,167250
1659431976.712706,167259
1659431976.753711,167294
1659431976.794716,167314
1659431976.834013,167326
1659431976.87331,167335
1659431976.912607,167383
1659431976.954125,167386
1659431976.995643,167345
1659431977.034598,167304
1659431977.073553,167283
1659431977.112508,167273
1659431977.151121,167235
1659431977.189735,167229
1659431977.228348,167211
1659431977.270891,167196
1659431977.313434,167197
1659431977.352047,167138
1659431977.390661,167065
1659431977.429274,167051
1659431977.47028,167056
1659431977.511285,167074
1659431977.549898,167107
1659431977.588512,167112
1659431977.627125,167090
1659431977.669668,167051
1659431977.712211,167033
1659431977.750483,167036
1659431977.788755,167025
1659431977.827026,167018
1659431977.868032,167028
1659431977.909037,167025
1659431977.94765,167025
1659431977.986264,167046
1659431978.024877,167029
1659431978.0693,167030
1659431978.113722,167032
1659431978.158145,167018
1659431978.191462,166988
1659431978.224778,166955
1659431978.269543,166936
1659431978.314307,166936
1659431978.359071,166977
1659431978.400076,166979
1659431978.441082,166973
1659431978.480037,166947
1659431978.518992,166933
1659431978.557947,166931
1659431978.59656,166925
1659431978.635174,166944
1659431978.673787,166950
1659431978.71633,166946
1659431978.758873,166974
1659431978.797145,167000
1659431978.835417,167002
