LocalTimestamp,TH
1659521037.069705,33.432
1659521037.172111,32.946
1659521037.276564,32.996
1659521037.483422,33.175
1659521037.585827,33.189
1659521037.689256,33.133
1659521037.794734,33.133
1659521037.999544,33.128
1659521038.102973,33.142
1659521038.206402,32.892
1659521038.413261,32.913
1659521038.51669,33.087
1659521038.620119,33.072
1659521038.724572,33.051
1659521038.930407,33.058
1659521039.033836,33.047
1659521039.137265,33.054
1659521039.345147,33.066
1659521039.447552,33.058
1659521039.550982,33.204
1659521039.656459,33.211
1659521039.865365,33.18
1659521039.993372,33.187
1659521040.096801,33.059
1659521040.20023,33.066
1659521040.408113,33.022
1659521040.511542,33.029
1659521040.613947,33.094
1659521040.7184,33.102
1659521040.924234,33.073
1659521041.027663,33.081
1659521041.131093,33.046
1659521041.339999,33.053
1659521041.443428,33.018
1659521041.545833,33.018
1659521041.651311,32.91
1659521041.857145,32.917
1659521041.95955,33.07
1659521042.062979,33.077
1659521042.19969,33.042
1659521042.336401,33.049
1659521042.541211,33.077
1659521042.643616,33.077
1659521042.747046,33.037
1659521042.853547,33.044
1659521043.058357,33.009
1659521043.160762,33.009
1659521043.264191,33.023
1659521043.475146,33.03
1659521043.577551,33.145
1659521043.68098,33.145
1659521043.785434,33.035
1659521043.991268,33.042
1659521044.094697,33.012
1659521044.19915,33.019
1659521044.404984,33.04
1659521044.508414,33.04
1659521044.612867,33.012
1659521044.716296,33.019
1659521044.923154,33.022
1659521045.025559,33.029
1659521045.130013,33.038
1659521045.304101,33.038
1659521045.407531,33.022
1659521045.511984,33.029
1659521045.717818,33.029
1659521045.821247,33.029
1659521045.924676,33.088
1659521046.131535,33.095
1659521046.234964,33.001
1659521046.338393,33.001
1659521046.442846,33.074
1659521046.648681,33.081
1659521046.75211,33.044
1659521046.855539,33.044
1659521047.063421,32.983
1659521047.165827,32.99
1659521047.269256,33.039
1659521047.373709,33.039
1659521047.580567,33.028
1659521047.683996,33.035
1659521047.78845,32.934
1659521047.996332,32.941
1659521048.097713,33.021
1659521048.201142,33.021
1659521048.308668,33.028
1659521048.513478,33.028
1659521048.614859,33.08
1659521048.718288,33.087
1659521048.925147,32.925
1659521049.028576,32.932
1659521049.132005,32.895
1659521049.240554,32.902
1659521049.446389,33.073
1659521049.548794,33.073
1659521049.652223,33.113
1659521049.859081,33.113
1659521049.96251,33.017
1659521050.066964,33.024
1659521050.169369,32.968
1659521050.377251,32.968
1659521050.479144,33.01
1659521050.581037,33.018
1659521050.785848,33.025
1659521050.889277,33.025
1659521050.992706,32.994
1659521051.101255,33.002
1659521051.302994,33.051
1659521051.407447,33.051
1659521051.509852,32.936
1659521051.71671,32.943
1659521051.820139,32.983
1659521051.923568,32.983
1659521052.130427,32.805
1659521052.233856,32.805
1659521052.338309,32.815
1659521052.441738,32.822
1659521052.647573,32.728
1659521052.751002,32.735
1659521052.854431,32.761
1659521053.06129,32.761
1659521053.165743,32.881
1659521053.268148,32.888
1659521053.372601,32.756
1659521053.578435,32.756
1659521053.682889,32.787
1659521053.785294,32.787
1659521053.992152,32.811
1659521054.095581,32.818
1659521054.200034,32.867
1659521054.303464,32.867
1659521054.509298,32.863
1659521054.612727,32.863
1659521054.721277,32.717
1659521054.927111,32.724
1659521055.03054,32.861
1659521055.134993,32.861
1659521055.246615,32.844
1659521055.452449,32.851
1659521055.555878,32.859
1659521055.659307,32.866
1659521055.840564,32.744
1659521055.949114,32.751
1659521056.051519,32.831
1659521056.161093,32.831
1659521056.365903,32.781
1659521056.467284,32.781
1659521056.570713,32.845
1659521056.778595,32.852
1659521056.885097,32.859
1659521056.987502,32.859
1659521057.094003,32.904
1659521057.299838,32.904
1659521057.401219,32.864
1659521057.504648,32.871
1659521057.711506,32.97
1659521057.815959,32.97
1659521057.918365,32.866
1659521058.026914,32.874
1659521058.229676,32.991
1659521058.332081,32.991
1659521058.43551,32.951
1659521058.642369,32.951
1659521058.745798,32.956
1659521058.849227,32.963
1659521058.955728,32.855
1659521059.160538,32.855
1659521059.262944,32.93
1659521059.366373,32.93
1659521059.574255,32.989
1659521059.67666,32.996
1659521059.78009,32.945
1659521059.885567,32.945
1659521060.090377,33.045
1659521060.193806,33.045
1659521060.297235,32.973
1659521060.505118,32.973
1659521060.607523,32.966
1659521060.710952,32.973
1659521060.818477,33.01
1659521060.963893,33.01
1659521061.109308,32.971
1659521061.219906,32.978
1659521061.424716,32.987
1659521061.527121,32.987
1659521061.63055,33.015
1659521061.837409,33.015
1659521061.940838,32.947
1659521062.044267,32.948
1659521062.14872,33.015
1659521062.354554,33.023
1659521062.457983,32.955
1659521062.561413,32.955
1659521062.768271,33.027
1659521062.8717,33.027
1659521062.975129,32.955
1659521063.079583,32.955
1659521063.285417,32.901
1659521063.388846,32.908
1659521063.492275,32.965
1659521063.700158,32.965
1659521063.803587,33.009
1659521063.905992,33.009
1659521064.011469,32.986
1659521064.21628,32.986
1659521064.319709,32.967
1659521064.423138,32.967
1659521064.63102,32.955
1659521064.735473,32.963
1659521064.836854,33.009
1659521064.942332,33.009
1659521065.147142,32.963
1659521065.250571,32.97
1659521065.358097,32.942
1659521065.564955,32.942
1659521065.668384,32.993
1659521065.771813,33.0
1659521065.881387,33.024
1659521066.088245,33.024
1659521066.192698,33.132
1659521066.368835,33.139
1659521066.47124,33.078
1659521066.574669,33.071
1659521066.680147,33.097
1659521066.884957,33.104
1659521066.988386,33.001
1659521067.091815,33.001
1659521067.298674,33.031
1659521067.402103,33.031
1659521067.509628,33.024
1659521067.613057,33.024
1659521067.818892,33.017
1659521067.923345,33.017
1659521068.037014,33.106
1659521068.140444,33.106
1659521068.346278,33.118
1659521068.449707,33.118
1659521068.55416,33.076
1659521068.759995,33.083
1659521068.863424,33.085
1659521068.966853,33.085
1659521069.079499,33.102
1659521069.285333,33.102
1659521069.388762,33.081
1659521069.493215,33.081
1659521069.700074,33.095
1659521069.804527,33.095
1659521069.907956,33.064
1659521070.010361,33.065
1659521070.21722,33.09
1659521070.320649,33.09
1659521070.425102,32.98
1659521070.630936,32.987
1659521070.737438,33.112
1659521070.840867,33.112
1659521070.943272,33.011
1659521071.15013,33.011
1659521071.254584,32.971
1659521071.356989,32.971
1659521071.465538,33.002
1659521071.690829,33.002
1659521071.817812,33.049
1659521071.919193,33.056
1659521072.022622,33.023
1659521072.131171,33.023
1659521072.335982,33.002
1659521072.438387,33.002
1659521072.541816,33.1
1659521072.748674,33.1
1659521072.853127,33.072
1659521072.955533,33.079
1659521073.063058,33.108
1659521073.26582,33.108
1659521073.369249,33.037
1659521073.472678,33.037
1659521073.679537,33.112
1659521073.78399,33.112
1659521073.886395,33.063
1659521073.994945,33.063
1659521074.197707,33.126
1659521074.300112,33.126
1659521074.406613,33.068
1659521074.614496,33.075
1659521074.717925,33.059
1659521074.82033,33.059
1659521074.925807,33.089
1659521075.131641,33.089
1659521075.234047,33.12
1659521075.337476,33.12
1659521075.545358,33.148
1659521075.648787,33.155
1659521075.751193,33.082
1659521075.859742,33.082
1659521076.063528,33.045
1659521076.164909,33.045
1659521076.268338,33.073
1659521076.475197,33.073
1659521076.57965,33.031
1659521076.682055,33.031
1659521076.874577,33.045
1659521076.978006,33.045
1659521077.080411,33.022
1659521077.239139,33.022
1659521077.342568,33.148
1659521077.548402,33.148
1659521077.657976,33.005
1659521077.762429,33.012
1659521077.864834,33.071
1659521078.072716,33.071
1659521078.179218,33.134
1659521078.282647,33.134
1659521078.388124,33.106
1659521078.592935,33.106
1659521078.696364,33.088
1659521078.799793,33.088
1659521079.006651,33.097
1659521079.111104,33.097
1659521079.214534,33.069
1659521079.323083,33.076
1659521079.524821,33.048
1659521079.630299,33.048
1659521079.73168,33.189
1659521079.939562,33.189
1659521080.041967,33.179
1659521080.145396,33.179
1659521080.252922,33.118
1659521080.455684,33.118
1659521080.559113,33.133
1659521080.662542,33.133
1659521080.871449,33.062
1659521080.97283,33.07
1659521081.076259,33.086
1659521081.181736,33.086
1659521081.38757,33.119
1659521081.489975,33.119
1659521081.593405,33.133
1659521081.801287,33.133
1659521081.903692,33.159
1659521082.013266,33.159
1659521082.122839,33.051
1659521082.330722,33.058
1659521082.434151,33.063
1659521082.539628,33.063
1659521082.744438,33.091
1659521082.847867,33.091
1659521082.951297,33.119
1659521083.054726,33.119
1659521083.261584,33.115
1659521083.366037,33.115
1659521083.468442,33.15
