SubjectID,Session,Phase,UN,LocalTimestamp
1,1,pretest,1ee1-pretest,1659429514
1,1,start,1ee1-start,1659429535
1,1,takeoff,1ee1-takeoff,1659429568
1,1,p1,1ee1-p1,1659429595
1,1,p1End,1ee1-p1end,1659429621
1,1,p2,1ee1-p2,1659429634
1,1,p2End,1ee1-p1end,1659429674
1,1,landing,1ee1-landing,1659429685
1,1,posttest,1ee1-posttest,1659429692
1,2,pretest,1ee2-pretest,1659522163
1,2,start,1ee2-start,1659522170
1,2,takeoff,1ee2-takeoff,1659522188
1,2,p1,1ee2-p1,1659522213
1,2,p1End,1ee2-p1end,1659522250
1,2,p2,1ee2-p2,1659522259
1,2,p2End,1ee2-p1end,1659522289
1,2,landing,1ee2-landing,1659522301
1,2,posttest,1ee2-posttest,1659522302
1,3,pretest,1ee3-pretest,1659521037
1,3,start,1ee3-start,1659521050
1,3,takeoff,1ee3-takeoff,1659521079
1,3,p1,1ee3-p1,1659521106
1,3,p1End,1ee3-p1end,1659521136
1,3,p2,1ee3-p2,1659521151
1,3,p2End,1ee3-p1end,1659521190
1,3,landing,1ee3-landing,1659521211
1,3,posttest,1ee3-posttest,1659521213
1,4,pretest,1ee4-pretest,1659432390
1,4,start,1ee4-start,1659432407
1,4,takeoff,1ee4-takeoff,1659432511
1,4,p1,1ee4-p1,1659432534
1,4,p1End,1ee4-p1end,1659432569
1,4,p2,1ee4-p2,1659432587
1,4,p2End,1ee4-p1end,1659432629
1,4,landing,1ee4-landing,1659432646
1,4,posttest,1ee4-posttest,1659432648
2,1,pretest,2ee1-pretest,1659521446
2,1,start,2ee1-start,1659521456
2,1,takeoff,2ee1-takeoff,1659521471
2,1,p1,2ee1-p1,1659521493
2,1,p1End,2ee1-p1end,1659521523
2,1,p2,2ee1-p2,1659521540
2,1,p2End,2ee1-p1end,1659521565
2,1,landing,2ee1-landing,1659521589
2,1,posttest,2ee1-posttest,1659521591
2,2,pretest,2ee2-pretest,1659430208
2,2,start,2ee2-start,1659430236
2,2,takeoff,2ee2-takeoff,1659430278
2,2,p1,2ee2-p1,1659430300
2,2,p1End,2ee2-p1end,1659430320
2,2,p2,2ee2-p2,1659430347
2,2,p2End,2ee2-p1end,1659430372
2,2,landing,2ee2-landing,1659430400
2,2,posttest,2ee2-posttest,1659430404
2,3,pretest,2ee3-pretest,1659431712
2,3,start,2ee3-start,1659431721
2,3,takeoff,2ee3-takeoff,1659431808
2,3,p1,2ee3-p1,1659431835
2,3,p1End,2ee3-p1end,1659431860
2,3,p2,2ee3-p2,1659431891
2,3,p2End,2ee3-p1end,1659431929
2,3,landing,2ee3-landing,1659431942
2,3,posttest,2ee3-posttest,1659431946
2,4,pretest,2ee4-pretest,1659520671
2,4,start,2ee4-start,1659520697
2,4,takeoff,2ee4-takeoff,1659520726
2,4,p1,2ee4-p1,1659520748
2,4,p1End,2ee4-p1end,1659520768
2,4,p2,2ee4-p2,1659520795
2,4,p2End,2ee4-p1end,1659520835
2,4,landing,2ee4-landing,1659520853
